C:\Users\charl\scoop\apps\corretto17-jdk\current\bin\java.exe -javaagent:C:\Users\charl\scoop\apps\idea\2024.3.1-243.22562.145\IDE\lib\idea_rt.jar=63487:C:\Users\charl\scoop\apps\idea\2024.3.1-243.22562.145\IDE\bin -Dfile.encoding=UTF-8 -classpath D:\git_wa\advent-of-code\target\scala-3.6.2\classes;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scala-lang\scala3-library_3\3.6.2\scala3-library_3-3.6.2.jar;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scalactic\scalactic_3\3.2.19\scalactic_3-3.2.19.jar;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scala-lang\scala-library\2.13.15\scala-library-2.13.15.jar aoc.aoc2024.day2.main
List(58, 59, 60, 59, 60) | 3 | Ascending | Safe(0): false | Safe(1): false
List(59, 60, 57, 60, 61, 63, 61) | 4 | Ascending | Safe(0): false | Safe(1): false
List(68, 70, 71, 70, 72, 75, 76, 76) | 5 | Ascending | Safe(0): false | Safe(1): false
List(17, 18, 19, 21, 23, 22, 25, 29) | 6 | Ascending | Safe(0): false | Safe(1): false
List(56, 57, 60, 58, 64) | 3 | Ascending | Safe(0): false | Safe(1): false
List(87, 90, 93, 96, 97, 98, 98, 96) | 5 | Ascending | Safe(0): false | Safe(1): false
List(40, 41, 44, 44, 45, 46, 46) | 4 | Ascending | Safe(0): false | Safe(1): false
List(72, 75, 75, 78, 79, 83) | 4 | Ascending | Safe(0): false | Safe(1): false
List(77, 80, 80, 81, 88) | 3 | Ascending | Safe(0): false | Safe(1): false
List(43, 45, 48, 49, 50, 54, 56, 58) | 7 | Ascending | Safe(0): false | Safe(1): false
List(44, 45, 47, 51, 51) | 3 | Ascending | Safe(0): false | Safe(1): false
List(46, 47, 50, 54, 57, 60, 63, 67) | 7 | Ascending | Safe(0): false | Safe(1): false
List(12, 15, 17, 21, 24, 29) | 5 | Ascending | Safe(0): false | Safe(1): false
List(82, 83, 86, 92, 95) | 4 | Ascending | Safe(0): false | Safe(1): false
List(18, 21, 26, 29, 27) | 3 | Ascending | Safe(0): false | Safe(1): false
List(68, 71, 72, 74, 76, 83, 83) | 5 | Ascending | Safe(0): false | Safe(1): false
List(7, 10, 17, 20, 22, 26) | 5 | Ascending | Safe(0): false | Safe(1): false
List(30, 31, 37, 38, 45) | 4 | Ascending | Safe(0): false | Safe(1): false
List(34, 31, 33, 34, 32) | 2 | Descending | Safe(0): false | Safe(1): false
List(4, 3, 5, 6, 8, 10, 13, 13) | 5 | Ascending | Safe(0): false | Safe(1): false
List(18, 17, 20, 23, 25, 29) | 4 | Ascending | Safe(0): false | Safe(1): false
List(29, 27, 29, 30, 37) | 3 | Ascending | Safe(0): false | Safe(1): false
List(61, 58, 61, 58, 59, 62) | 3 | Descending | Safe(0): false | Safe(1): false
List(65, 62, 63, 60, 63, 65, 67, 65) | 4 | Descending | Safe(0): false | Safe(1): false
List(13, 11, 13, 12, 12) | 1 | Descending | Safe(0): false | Safe(1): false
List(25, 23, 20, 23, 26, 29, 31, 35) | 5 | Ascending | Safe(0): false | Safe(1): false
List(58, 55, 52, 54, 61) | 2 | Descending | Safe(0): false | Safe(1): false
List(24, 22, 25, 25, 26, 27, 29, 31) | 5 | Ascending | Safe(0): false | Safe(1): false
List(25, 22, 23, 24, 27, 27, 24) | 3 | Descending | Safe(0): false | Safe(1): false
List(10, 8, 8, 9, 9) | 1 | Descending | Safe(0): false | Safe(1): false
List(64, 63, 66, 66, 70) | 2 | Descending | Safe(0): false | Safe(1): false
List(72, 71, 74, 74, 77, 83) | 3 | Descending | Safe(0): false | Safe(1): false
List(89, 86, 89, 92, 96, 99) | 4 | Ascending | Safe(0): false | Safe(1): false
List(89, 87, 88, 92, 93, 96, 97, 95) | 5 | Ascending | Safe(0): false | Safe(1): false
List(87, 85, 88, 92, 93, 93) | 3 | Descending | Safe(0): false | Safe(1): false
List(77, 74, 78, 79, 82, 84, 88) | 5 | Ascending | Safe(0): false | Safe(1): false
List(42, 39, 42, 43, 47, 53) | 4 | Ascending | Safe(0): false | Safe(1): false
List(79, 76, 79, 82, 88, 89, 90, 92) | 6 | Ascending | Safe(0): false | Safe(1): false
List(58, 56, 59, 61, 63, 70, 72, 69) | 5 | Ascending | Safe(0): false | Safe(1): false
List(42, 40, 41, 46, 47, 47) | 3 | Descending | Safe(0): false | Safe(1): false
List(55, 53, 56, 58, 64, 65, 69) | 5 | Ascending | Safe(0): false | Safe(1): false
List(46, 43, 45, 50, 52, 57) | 4 | Ascending | Safe(0): false | Safe(1): false
List(61, 61, 63, 65, 62) | 2 | Descending | Safe(0): false | Safe(1): false
List(24, 24, 27, 30, 32, 32) | 3 | Descending | Safe(0): false | Safe(1): false
List(30, 30, 31, 32, 33, 36, 40) | 5 | Ascending | Safe(0): false | Safe(1): false
List(40, 40, 43, 45, 48, 50, 55) | 5 | Ascending | Safe(0): false | Safe(1): false
List(62, 62, 64, 66, 64, 66, 67) | 4 | Ascending | Safe(0): false | Safe(1): false
List(88, 88, 90, 93, 94, 95, 94, 93) | 4 | Descending | Safe(0): false | Safe(1): false
List(88, 88, 85, 88, 89, 90, 90) | 3 | Descending | Safe(0): false | Safe(1): false
List(69, 69, 70, 73, 75, 72, 73, 77) | 5 | Ascending | Safe(0): false | Safe(1): false
List(10, 10, 7, 10, 12, 17) | 3 | Descending | Safe(0): false | Safe(1): false
List(12, 12, 14, 15, 15, 17, 20) | 4 | Ascending | Safe(0): false | Safe(1): false
List(14, 14, 16, 17, 19, 19, 22, 20) | 4 | Descending | Safe(0): false | Safe(1): false
List(7, 7, 8, 8, 11, 11) | 2 | Descending | Safe(0): false | Safe(1): false
List(89, 89, 92, 93, 94, 94, 98) | 4 | Ascending | Safe(0): false | Safe(1): false
List(85, 85, 86, 89, 89, 96) | 3 | Descending | Safe(0): false | Safe(1): false
List(70, 70, 74, 77, 79) | 3 | Ascending | Safe(0): false | Safe(1): false
List(86, 86, 90, 93, 94, 93) | 3 | Descending | Safe(0): false | Safe(1): false
